Participant,Station Name,Region,Dispatch Type,Category,Classification,Fuel Source - Primary,Fuel Source - Descriptor,Technology Type - Primary,Technology Type - Descriptor,Units,Aggregation,DUID,Reg Cap generation (MW),Max Cap generation (MW),Max ROC/Min generation,Reg Cap consumption (MW),Max Cap consumption (MW),Max ROC/Min consumption,Maximum storage capacity,Latitude,Longitude
EnergyAustralia Pty Ltd,Riverena BESS 2,NSW1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,1-52,Y,RIVNB2,65,65,26,65,65,26,130,-34.65,146.03
Equis Energy (Australia) Projects (MREH A1 AssetCo) Pty Ltd as trustee for Equis Energy (Australia) MREH A1 Asset Trust,Melbourne Renewable Energy Hub Connection A1,VIC1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,1-112,Y,MREHA1,215.8,200,80,215.8,200,80,400,-38.05,142.19
Equis Energy (Australia) Projects (MREH A2 AssetCo) Pty Ltd as The Trustee for Equis Energy (Australia) MREH A2 Asset Trust,Melbourne Renewable Energy Hub Connection A2,VIC1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,1-112,Y,MREHA2,215.8,200,80,215.8,200,80,400,-38.05,142.19
Hazelwood BESS Project Co Pty Ltd as Trustee for the HBESS Asset Trust,Hazelwood BESS,VIC1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,1-57,Y,HBESS1,200,150,60,200,150,60,150,-38.271833,146.390879
Hornsdale Power Reserve Pty Ltd,Hornsdale Power Reserve,SA1,Bidirectional Unit,Market,Scheduled,Battery storage,Wind,Storage,Battery and Inverter,1-294,N,HPR1,150,150,54,150,150,54,194,-33.187,138.5863
Iberdrola Australia Wallgrove Pty Limited,Wallgrove BESS 1,NSW1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,1-36,Y,WALGRV1,50,50,40,47,47,40,78,-33.8,150.8
Lake Bonney Wind Power Pty Ltd,Lake Bonney BESS1,SA1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery,1-48,Y,LBB1,25,25,10,25,52,10,52,-37.738,140.39967
Latrobe Valley BESS as the Trustee for Latrobe Valley BESS Project Trust,Latrobe Valley BESS,VIC1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,1-32,Y,LVES1,140,100,40,140,100,40,200,-38.2325,146.4068
Mannum Stage 2 Battery SubCo Pty Ltd as trustee for the Mannum Stage 2 Battery Unit Trust,Mannum BESS,SA1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,1-80,Y,MANNUMB1,131.7,100,40,131.7,100,40,200,-34.9,139.3
Mondo Metering Pty Ltd,Phillip Island BESS,VIC1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,1-5,Y,PIBESS1,7,5,10,7,5,10,11.9264,-38.4842,145.2443
Munmorah Battery ProjectCo Pty Ltd,Waratah Super Battery,NSW1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,1-288,Y,WTAHB1,1095.84,850,340,1095.84,850,340,1679,-33.211781,151.542161
