SETTLEMENTDATE,timestamp_utc,asset_label,Station Name,DUID,Region,Participant,Dispatch Type,SCADAVALUE,SIGNED_MW,ABS_MW,BESS_STATE,REGION_RRP,REGION_TOTALDEMAND,MAX_DISCHARGE_MW,MAX_CHARGE_MW,STORAGE_MWH,utilisation_pct,Latitude,Longitude,Category,Fuel Source - Primary,Technology Type - Primary
2026/08/02 21:45:00,2026-08-02T11:48:02.610143,Tarong BESS (TARBESS1),Tarong BESS,TARBESS1,QLD1,Stanwell Corporation Limited,Bidirectional Unit,174.87,174.87,174.87,Discharging,53.75,6648.15,300.0,300.0,600.0,58.29,-26.783688,151.915274,Market,Battery storage,Storage
2026/08/02 21:45:00,2026-08-02T11:48:02.610143,Tailem Bend 2 Hybrid Renewable Power Station (TB2B1),Tailem Bend 2 Hybrid Renewable Power Station,TB2B1,SA1,Tailem Bend II Project Company Pty Ltd as trustee for the Tailem Bend II Project Trust,Bidirectional Unit,-0.44,-0.44,0.44,Idle,101.02,1745.77,41.0,41.0,41.0,1.07,-35.28,139.49,Market,Battery storage,Storage
2026/08/02 21:45:00,2026-08-02T11:48:02.610143,Templers BESS (TEMPB1),Templers BESS,TEMPB1,SA1,ZEN Energy Retail Pty Ltd,Bidirectional Unit,-0.4,-0.4,0.4,Idle,101.02,1745.77,111.0,111.0,285.0,0.36,-34.46,138.749,Market,Battery Storage,Storage
2026/08/02 21:45:00,2026-08-02T11:48:02.610143,Torrens Island BESS (TIB1),Torrens Island BESS,TIB1,SA1,AGL SA Generation Pty Limited,Bidirectional Unit,-1.1,-1.1,1.1,Charging,101.02,1745.77,250.0,250.0,250.0,0.44,-34.8068,138.5213,Market,Battery Storage,Storage
2026/08/02 21:45:00,2026-08-02T11:48:02.610143,Ulinda Park BESS (ULPBESS1),Ulinda Park BESS,ULPBESS1,QLD1,Ulinda Park ProjectCo Pty Ltd,Bidirectional Unit,-1.23,-1.23,1.23,Charging,53.75,6648.15,155.0,155.0,298.0,0.79,-26.929416,150.719896,Market,Battery storage,Storage
2026/08/02 21:45:00,2026-08-02T11:48:02.610143,Victorian Big Battery (VBB1),Victorian Big Battery,VBB1,VIC1,Victorian Big Battery Pty Ltd,Bidirectional Unit,-1.9,-1.9,1.9,Charging,8.94,6221.5,300.0,250.0,450.0,0.76,-38.0333,144.2833,Market,Battery storage,Storage
2026/08/02 21:45:00,2026-08-02T11:48:02.610143,Wallgrove BESS 1 (WALGRV1),Wallgrove BESS 1,WALGRV1,NSW1,Iberdrola Australia Wallgrove Pty Limited,Bidirectional Unit,-0.19,-0.19,0.19,Idle,58.64245,8949.36,50.0,47.0,78.0,0.4,-33.8,150.8,Market,Battery storage,Storage
2026/08/02 21:45:00,2026-08-02T11:48:02.610143,Wandoan BESS (WANDB1),Wandoan BESS,WANDB1,QLD1,AGL Sales (Queensland Electricity) Pty Limited,Bidirectional Unit,-0.55,-0.55,0.55,Idle,53.75,6648.15,100.0,100.0,150.0,0.55,-26.1963,149.8828,Market,Battery storage,Storage
2026/08/02 21:45:00,2026-08-02T11:48:02.610143,Western Downs BESS (WDBESS1),Western Downs BESS,WDBESS1,QLD1,Western Downs BESS Pty Ltd as trustee for the Western Downs BESS Trust,Bidirectional Unit,-1.91,-1.91,1.91,Charging,53.75,6648.15,255.0,255.0,400.0,0.75,-26.7167,150.7833,Market,Battery storage,Storage
2026/08/02 21:45:00,2026-08-02T11:48:02.610143,Waratah Super Battery (WTAHB1),Waratah Super Battery,WTAHB1,NSW1,Munmorah Battery ProjectCo Pty Ltd,Bidirectional Unit,-5.33,-5.33,5.33,Charging,58.64245,8949.36,850.0,850.0,1679.0,0.63,-33.211781,151.542161,Market,Battery storage,Storage
